Neighbourhood Number,Neighbourhood,Average Price ($),Sales,Average DOM
1,West Humber-Clairville,761270,86,24.3
2,Mount Olive-Silverstone-Jamestown,737125,44,21
3,Thistletown-Beaumond Heights,775182,47,25.3
4,Rexdale-Kipling,715135,63,23.5
5,Elms-Old Rexdale,725684,38,30.3
6,Kingsview Village-The Westway,910151,64,24.2
7,Willowridge-Martingrove-Richview,1004928,93,22.8
8,Humber Heights-Westmount,1165403,54,29.5
9,Edenbridge-Humber Valley,1994145,67,24.5
10,Princess-Rosethorn,1523768,100,20.1
11,Eringate-Centennial-West Deane,965119,94,21
12,Markland Wood,1092794,48,19
13,Etobicoke West Mall,924822,28,14
14,Islington-City Centre West,1376473,159,27.3
15,Kingsway South,2072514,72,21.3
16,Stonegate-Queensway,1335916,223,17
17,Mimico (includes Humber Bay Shores),993378,98,19.3
18,New Toronto,946766,70,19.5
19,Long Branch,1057687,80,20.2
20,Alderwood,976871,103,17
21,Humber Summit,860692,13,22.9
22,Humbermede,776700,20,21
23,Pelmo Park-Humberlea,849503.5,26.5,25.4
24,Black Creek,745000,16,24.2
25,Glenfield-Jane Heights,781711,9,26.6
26,Downsview-Roding-CFB,863744,88,24.4
27,York University Heights,900180,25,44.1
28,Rustic,959833,27,27.2
29,Maple Leaf,987900,28,32.5
30,Brookhaven-Amesbury,837047,45,19
31,Yorkdale-Glen Park,1186592,48,33.8
32,Englemount-Lawrence,1530259,43,28.3
33,Clanton Park,1372610,65,24.1
34,Bathurst Manor,1189795,60,31.7
35,Westminster-Branson,1236650,10,17.7
36,Newtonbrook West,1409557,72,25.4
37,Willowdale West,1761446,74,28.4
38,Lansing-Westgate,1846963,75,26.5
39,Bedford Park-Nortown,2487956,160,19.7
40,St.Andrew-Windfields,3261919,81,34.4
41,Bridle Path-Sunnybrook-York Mills,4468576,51,39
42,Banbury-Don Mills,2177852,81,25
43,Victoria Village,1076056,32,15.2
44,Flemingdon Park,0,0,0
45,Parkwoods-Donalda,1406879,77,19.4
46,Pleasant View,1208608,24,27.2
47,Don Valley Village,1229612,32,25.4
48,Hillcrest Village,1166989,42,17.6
49,Bayview Woods-Steeles,1519964,28,19.6
50,Newtonbrook East,1847320,71,25.2
51,Willowdale East,2376860,86,37.3
52,Bayview Village,2525448,48,35.2
53,Henry Farm,1415088,8,15.9
54,O'Connor-Parkview,1016840,116,13.6
55,Thorncliffe Park,0,0,0
56,Leaside-Bennington,2006360,102,18.4
57,Broadview North,1042906,16,17.3
58,Old East York,1161116,92,16.5
59,Danforth East York,1049021,106,13.2
60,Woodbine-Lumsden,941058,90,15.2
61,Taylor-Massey,816050,22,15.9
62,East End-Danforth,1111792,44,16.2
63,The Beaches,1653899,119,18.2
64,Woodbine Corridor,1059261,37,13.2
65,Greenwood-Coxwell,1052818,42,13.5
66,Danforth,1185781,22,10.3
67,Playter Estates-Danforth,1739200,15,6.9
68,North Riverdale,1552525,21,13.2
69,Blake-Jones,1039290,10,5.9
70,South Riverdale,1258652,36,20.4
71,Cabbagetown-South St. James Town,1552433,9,18.7
72,Regent Park,0,0,0
73,Moss Park,1430000,2,7.5
74,North St. James Town,0,0,0
75,Church-Yonge Corridor,0,0,0
76,Bay Street Corridor,0,0,0
77,Waterfront Communities-The Island,0,0,0
78,Kensington-Chinatown,1993800,5,52.6
79,University,2025667,6,10.3
80,Palmerston-Little Italy,1773244,16,24.8
81,Trinity-Bellwoods,2179468,19,21.2
82,Niagara,1760000,2,22.5
83,Dufferin Grove,1763184,20,21.8
84,Little Portugal,1923300,8,7.9
85,South Parkdale,1432308,13,28.7
86,Roncesvalles,1591831,20,12.2
87,High Park-Swansea,1874921,95,16.1
88,High Park North,1473298,45,12.4
89,Runnymede-Bloor West Village,1289893,76,10.9
90,Junction Area,1290272,18,8.6
91,Weston-Pelham Park,830672,18,15.3
92,Corso Italia-Davenport,939299,43,19.5
93,Dovercourt-Wallace Emerson-Junction,1158268,56,12.1
94,Wychwood,1649667,36,11.1
95,Annex,3087465,23,28.8
96,Casa Loma,2853243,23,16.9
97,Yonge-St.Clair,3336391,22,14.1
98,Rosedale-Moore Park,3623729,83,26.1
99,Mount Pleasant East,1795868,77,17.9
100,Yonge-Eglinton,1910388,49,13.2
101,Forest Hill South,3770841,54,25.9
102,Forest Hill North,2107095,41,17.1
103,Lawrence Park South,2461075,114,14.5
104,Mount Pleasant West,2102357,14,20.2
105,Lawrence Park North,1852474,110,13.2
106,Humewood-Cedarvale,1736814,60,14
107,Oakwood Village,954126,73,21.1
108,Briar Hill-Belgravia,857703,37,26.2
109,Caledonia-Fairbank,827903,69,20.9
110,Keelesdale-Eglinton West,707493,50,19.5
111,Rockcliffe-Smythe,716471,90,23.3
112,Beechborough-Greenbrook,880529,14,27.1
113,Weston,760691,54,20.8
114,Lambton Baby Point,1536394,50,11.4
115,Mount Dennis,618450,26,17.7
116,Steeles,959366,51,31.7
117,L'Amoreaux,1034045,71,24.3
118,Tam O'Shanter-Sullivan,894011,56,18.6
119,Wexford/Maryvale,762573,177,16.3
120,Clairlea-Birchmount,822242,105,20.9
121,Oakridge,729868,40,22.6
122,Birchcliffe-Cliffside,997939,198,18.6
123,Cliffcrest,998881,153,22.7
124,Kennedy Park,712404,53,20.7
125,Ionview,761743,32,19.6
126,Dorset Park,724413,67,22.5
127,Bendale,751354,104,24
128,Agincourt South-Malvern West,1021929,46,25.6
129,Agincourt North,872337,60,24.6
130,Milliken,876430,67,30
131,Rouge,886641.5,75,24.8
132,Malvern,656533,82,19.5
133,Centennial Scarborough,949478,77,19.8
134,Highland Creek,928173,79,24.9
135,Morningside,721650,52,20.9
136,West Hill,756821,106,22.6
137,Woburn,726441,195,19.9
138,Eglinton East,781632,41,16.8
139,Scarborough Village,1090569,36,18.9
140,Guildwood,851995,63,19.2
